Abbey Wood,,Charlton,Slade Green
Aber,,Cardiff Central
Abercynon,,Pontypridd
Aberdare,,Pontypridd
ABERDEEN,Routeing Point
Aberdour,,Inverkeithing Group,Kirkcaldy Group
Aberdovey,,Machynlleth Group
Abererch,,Machynlleth Group
Abergavenny,,Hereford,Newport (S.Wales)
Abergele & Pensn,,Shotton
Aberystwyth,,Machynlleth Group
Accrington,,Blackburn,Halifax Group,Manchester Group
Achanalt,,Inverness
Achnasheen,,Inverness
Achnashellach,,Inverness
Acklington,,Edinburgh Group,Newcastle
Acle,,Ipswich,Norwich
Acocks Green,,Stratford U Group,Tyseley,Warwick Group
Acton Bridge,,Crewe,Runcorn Group,Warrington Group
Acton Central,,Richmond London,Willesden Jn
Acton Main Line,,Clapham Junction,Greenford Und,Hayes & Harlngtn Gp,London Group
Adderley Park,,Birmingham Group,Coventry
Addiewell,,Edinburgh Group,Motherwell Group
Addlestone,,Ascot (Berks),Staines,Surbiton,Woking
Adisham,,Ashford Intl,Dover Priory,Faversham,Ramsgate Group
Adlington Ches,,Crewe,Stockport,Stoke On Trent,Wilmslow Group
Adlington Lancs,,Blackburn,Bolton,Preston Lancs
Adwick,,Doncaster,Pontefract Group,Swinton  S Yorks,Wakefield Group
Aigburth,,Hunts Cross Group,Liverpool Group
Ainsdale,,Liverpool Group,Preston Lancs,Wigan Group
Aintree,,Liverpool Group,Preston Lancs,Wigan Group
Airbles,,Motherwell Group,Newton Lanark
Airdrie,,Edinburgh Group,Falkirk Group,Glasgow Group,Inverkeithing Group
Albany Park,,Dartford,Hither Green,Slade Green
Albrighton,,Shrewsbury,Wolverhampton
Alderley Edge,,Crewe,Wilmslow Group
Aldermaston,Reading Group,Westbury Group
Aldershot,Ash Vale,Farnborough Group,Guildford
Aldrington,Brighton Group,Ford Group
Alexandra Palace,Finsbury Park,Stevenage
Alexandra Parade,Glasgow Group
Alexandria,Glasgow Group
Alfreton,Chesterfield,Derby Group,Loughborough Group,Nottingham Group
Allens West,Darlington,Middlesbrough Group
Alloa,Stirling
Alness,Inverness
Alnmouth,Edinburgh Group,Newcastle
Alresford Essex,Colchester
Alsager,Crewe,Stockport,Stoke On Trent
Althorne Essex,Shenfield,Southend Group
Althorpe Humber,Barnetby,Doncaster,Goole
Altnabreac,Inverness
Alton,Ash Vale,Farnborough Group,Guildford
Altrincham,Chester,Stockport
Alvechurch,Barnt Green
Ambergate,Derby Group
Amberley,Ford Group,Horsham
Amersham (Und),Banbury Group,Greenford Und,London Group,Oxford
Ammanford,Craven Arms,Swansea Group
Ancaster,Grantham,Nottingham Group,Sleaford
Anderston,Glasgow Group
Andover,Basingstoke,Salisbury
Anerley,Croydon Group,Crystal Palace,New Cross Gate
Angel Road,Stansted Group,Tottenham Hale Group
Angmering,Brighton Group,Ford Group
Annan,Carlisle,Kilmarnock
Anniesland,Glasgow Group
Ansdell & Fairhn,Preston Lancs
Appleby,Carlisle,Hellifield Group
Appledore Kent,Ashford Intl,Hastings Group
Appleford,Didcot Parkway,Oxford
Appley Bridge,Liverpool Group,Preston Lancs,Wigan Group
Apsley,Bletchley Group,Watford Junction
Arbroath,Aberdeen,Dundee
Ardgay,,Inverness
Ardlui,,Glasgow Group
Ardrossan Hbr,,Kilmarnock,Paisley Gil St
Ardrossan S Bch,,Kilmarnock,Paisley Gil St
Ardrossan Town,,Kilmarnock,Paisley Gil St
Ardwick,,Guide Bridge,Manchester Group
Argyle Street,,Glasgow Group,Newton Lanark
Arisaig,,Glasgow Group
Arlesey,,Hitchin,Peterborough
Armadale,,Edinburgh Group,Falkirk Group,Glasgow Group,Inverkeithing Group
Armathwaite,,Carlisle,Hellifield Group
Arnside,,Carlisle,Lancaster Group
